"foundation: cut","APP","12/20/2007"
"foundation: cut","UPD","12/20/2007"
"foundation: layer","Term Number","32"
"foundation: layer","STA","Approved"
"foundation: layer","TYP","Descriptor"
"foundation: layer","INP","12/20/2007"
"foundation: layer","APP","12/20/2007"
"foundation: layer","UPD","12/20/2007"
"furnace","Term Number","34"
"furnace","STA","Approved"
"furnace","TYP","Descriptor"
"furnace","INP","12/20/2007"
"furnace","APP","12/20/2007"
"furnace","UPD","12/20/2007"
"grave","Term Number","35"
"grave","STA","Approved"
"grave","TYP","Descriptor"
"grave","INP","12/20/2007"
"grave","APP","12/20/2007"
"grave","UPD","12/20/2007"
"gully","Term Number","36"
"gully","STA","Approved"
"gully","TYP","Descriptor"
"gully","INP","12/20/2007"
"gully","APP","12/20/2007"
"gully","UPD","12/20/2007"
"hearth pit","Term Number","38"
"hearth pit","STA","Approved"
"hearth pit","TYP","Descriptor"
"hearth pit","INP","12/20/2007"
"hearth pit","APP","12/20/2007"
"hearth pit","UPD","12/20/2007"
"hearth pit: fill","Term Number","39"
"hearth pit: fill","STA","Approved"
"hearth pit: fill","TYP","Descriptor"
"hearth pit: fill","INP","12/20/2007"
"hearth pit: fill","APP","12/20/2007"
"hearth pit: fill","UPD","12/20/2007"
"hoof print","Term Number","42"
"hoof print","STA","Approved"
"hoof print","TYP","Descriptor"
"hoof print","INP","12/20/2007"
"hoof print","APP","12/20/2007"
"hoof print","UPD","12/20/2007"
"hoof print: fill","Term Number","43"
"hoof print: fill","STA","Approved"
"hoof print: fill","TYP","Descriptor"
"hoof print: fill","INP","12/20/2007"
"hoof print: fill","APP","12/20/2007"
"hoof print: fill","UPD","12/20/2007"
"interface","Term Number","40"
"interface","STA","Approved"
"interface","TYP","Descriptor"
"interface","INP","12/20/2007"
"interface","APP","12/20/2007"
"interface","UPD","12/20/2007"
"layer","Term Number","44"
"layer","STA","Approved"
"layer","TYP","Descriptor"
"layer","INP","12/20/2007"
"layer","APP","12/20/2007"
"layer","UPD","12/20/2007"
"lens","Term Number","45"
"lens","STA","Approved"
"lens","TYP","Descriptor"
"lens","INP","12/20/2007"
"lens","APP","12/20/2007"
"lens","UPD","12/20/2007"
"linear feature","Term Number","46"
"linear feature","STA","Approved"
"linear feature","TYP","Descriptor"
"linear feature","INP","12/20/2007"
"linear feature","APP","12/20/2007"
"linear feature","UPD","12/20/2007"
"linear feature: fill","Term Number","47"
"linear feature: fill","STA","Approved"
"linear feature: fill","TYP","Descriptor"
"linear feature: fill","INP","12/20/2007"
"linear feature: fill","APP","12/20/2007"
"linear feature: fill","UPD","12/20/2007"
"modern intrusion","Term Number","48"
"modern intrusion","STA","Approved"
"modern intrusion","TYP","Descriptor"
"modern intrusion","INP","12/20/2007"
"modern intrusion","APP","12/20/2007"
"modern intrusion","UPD","12/20/2007"
"modern intrusion: fill","Term Number","49"
"modern intrusion: fill","STA","Approved"
"modern intrusion: fill","TYP","Descriptor"
"modern intrusion: fill","INP","12/20/2007"
"modern intrusion: fill","APP","12/20/2007"
"modern intrusion: fill","UPD","12/20/2007"
"natural feature","Term Number","50"
"natural feature","STA","Approved"
"natural feature","TYP","Descriptor"
"natural feature","INP","12/20/2007"
"natural feature","APP","12/20/2007"
"natural feature","UPD","12/20/2007"
"natural feature: fill","Term Number","51"
"natural feature: fill","STA","Approved"
"natural feature: fill","TYP","Descriptor"
"natural feature: fill","INP","12/20/2007"
"natural feature: fill","APP","12/20/2007"
"natural feature: fill","UPD","12/20/2007"
"palaeochannel","Term Number","53"
"palaeochannel","STA","Approved"
"palaeochannel","TYP","Descriptor"
"palaeochannel","INP","12/20/2007"
"palaeochannel","APP","12/20/2007"
"palaeochannel","UPD","12/20/2007"
"palaeochannel: fill","Term Number","54"
"palaeochannel: fill","STA","Approved"
"palaeochannel: fill","TYP","Descriptor"
"palaeochannel: fill","INP","12/20/2007"
"palaeochannel: fill","APP","12/20/2007"
"palaeochannel: fill","UPD","12/20/2007"
"pit","Term Number","55"
"pit","STA","Approved"
"pit","TYP","Descriptor"
"pit","INP","12/20/2007"
"pit","APP","12/20/2007"
"pit","UPD","12/20/2007"
"pit, cess","Term Number","56"
"pit, cess","STA","Approved"
"pit, cess","TYP","Descriptor"
"pit, cess","INP","12/20/2007"
"pit, cess","APP","12/20/2007"
"pit, cess","UPD","12/20/2007"
"pit, cess: fill","Term Number","57"
"pit, cess: fill","STA","Approved"
"pit, cess: fill","TYP","Descriptor"
"pit, cess: fill","INP","12/20/2007"
"pit, cess: fill","APP","12/20/2007"
"pit, cess: fill","UPD","12/20/2007"
"plough furrow","Term Number","58"
"plough furrow","STA","Approved"
"plough furrow","TYP","Descriptor"
"plough furrow","INP","12/20/2007"
"plough furrow","APP","12/20/2007"
"plough furrow","UPD","12/20/2007"
"plough furrow: fill","Term Number","59"
"plough furrow: fill","STA","Approved"
"plough furrow: fill","TYP","Descriptor"
"plough furrow: fill","INP","12/20/2007"
"plough furrow: fill","APP","12/20/2007"
"plough furrow: fill","UPD","12/20/2007"
"plough mark","Term Number","60"
"plough mark","STA","Approved"
"plough mark","TYP","Descriptor"
"plough mark","INP","12/20/2007"
"plough mark","APP","12/20/2007"
"plough mark","UPD","12/20/2007"
"plough mark: fill","Term Number","61"
"plough mark: fill","STA","Approved"
"plough mark: fill","TYP","Descriptor"
"plough mark: fill","INP","12/20/2007"
"plough mark: fill","APP","12/20/2007"
"plough mark: fill","UPD","12/20/2007"
"post-hole","Term Number","62"
"post-hole","STA","Approved"
"post-hole","TYP","Descriptor"
"post-hole","INP","12/20/2007"
"post-hole","APP","12/20/2007"
"post-hole","UPD","12/20/2007"
"post-hole: fill","Term Number","63"
"post-hole: fill","STA","Approved"
"post-hole: fill","TYP","Descriptor"
"post-hole: fill","INP","12/20/2007"
"post-hole: fill","APP","12/20/2007"
"post-hole: fill","UPD","12/20/2007"
"post-hole: packing","Term Number","65"
"post-hole: packing","STA","Approved"
"post-hole: packing","TYP","Descriptor"
"post-hole: packing","INP","12/20/2007"
"post-hole: packing","APP","12/20/2007"
"post-hole: packing","UPD","12/20/2007"
"post-pad","Term Number","66"
"post-pad","STA","Approved"
"post-pad","TYP","Descriptor"
"post-pad","INP","12/20/2007"
"post-pad","APP","12/20/2007"
"post-pad","UPD","12/20/2007"
"post-pipe","Term Number","67"
"post-pipe","STA","Approved"
"post-pipe","TYP","Descriptor"
"post-pipe","INP","12/20/2007"
"post-pipe","APP","12/20/2007"
"post-pipe","UPD","12/20/2007"
"post-pipe: fill","Term Number","68"
"post-pipe: fill","STA","Approved"
"post-pipe: fill","TYP","Descriptor"
"post-pipe: fill","INP","12/20/2007"
"post-pipe: fill","APP","12/20/2007"
"post-pipe: fill","UPD","12/20/2007"
"pottery: spread","Term Number","69"
"pottery: spread","STA","Approved"
"pottery: spread","TYP","Descriptor"
"pottery: spread","INP","12/20/2007"
"pottery: spread","APP","12/20/2007"
"pottery: spread","UPD","12/20/2007"
"quarry pit","Term Number","70"
"quarry pit","STA","Approved"
"quarry pit","TYP","Descriptor"
"quarry pit","INP","12/20/2007"
"quarry pit","APP","12/20/2007"
"quarry pit","UPD","12/20/2007"
"quarry pit: fill","Term Number","71"
"quarry pit: fill","STA","Approved"
"quarry pit: fill","TYP","Descriptor"
"quarry pit: fill","INP","12/20/2007"
"quarry pit: fill","APP","12/20/2007"
"quarry pit: fill","UPD","12/20/2007"
"ring ditch","Term Number","72"
"ring ditch","STA","Approved"
